time,marker
2208.0,A
2211.0,gray
2214.0,gray
2217.0,gray
2220.0,A
2223.0,B
2226.0,A
2229.0,B
2232.0,A
2235.0,gray
2238.0,gray
2241.0,gray
2244.0,A
2247.0,B
2250.0,A
2253.0,B
2256.0,A
2259.0,gray
2262.0,gray
2265.0,gray
2268.0,A
2271.0,B
2274.0,A
2277.0,B
2280.0,A
2283.0,gray
2286.0,gray
2289.0,gray
2292.0,A
2295.0,B
2298.0,A
2301.0,B
2304.0,A
2307.0,gray
2310.0,gray
2313.0,gray
2316.0,A
2319.0,B
2322.0,A
2325.0,B
2328.0,A
2331.0,gray
2334.0,gray
2337.0,gray
2340.0,A
2343.0,B
2346.0,A
2349.0,B
2352.0,A
2355.0,gray
2358.0,gray
2361.0,gray
2364.0,A
2367.0,B
2370.0,A
2373.0,B
2376.0,A
2379.0,gray
2382.0,gray
2385.0,gray
2388.0,A
2391.0,B
2394.0,A
2397.0,B
2400.0,A
2403.0,gray
2406.0,gray
2409.0,gray
2412.0,A
2415.0,B
2418.0,A
2421.0,B
2424.0,A
2427.0,gray
2430.0,gray
2433.0,gray
2436.0,A
2439.0,B
2442.0,A
2445.0,B
2448.0,A
2451.0,gray
2454.0,gray
2457.0,gray
2460.0,A
2463.0,B
2466.0,A
2469.0,B
2472.0,A
2475.0,gray
2478.0,gray
2481.0,gray
2484.0,A
2487.0,B
2490.0,A
2493.0,B
2496.0,A
2499.0,gray
2502.0,gray
2505.0,gray
2508.0,A
2511.0,B
2514.0,A
2517.0,B
2520.0,A
2523.0,gray
2526.0,gray
2529.0,gray
2532.0,A
2535.0,B
2538.0,A
2541.0,B
2544.0,A
2547.0,gray
2550.0,gray
2553.0,gray
2556.0,A
2559.0,B
2562.0,A
2565.0,B
2568.0,A
2571.0,gray
2574.0,gray
2577.0,gray
2580.0,A
2583.0,B
2586.0,A
2589.0,B
2592.0,A
2595.0,gray
2598.0,gray
2601.0,gray
2604.0,A
2607.0,B
2610.0,A
2613.0,B
2616.0,A
2619.0,gray
2622.0,gray
2625.0,gray
2628.0,A
2631.0,B
2634.0,A
2637.0,B
2640.0,A
2643.0,gray
2646.0,gray
2649.0,gray
2652.0,A
2655.0,B
2658.0,A
2661.0,B
2664.0,A
2667.0,gray
2670.0,gray
2673.0,gray
2676.0,A
2679.0,B
2682.0,A
2685.0,B
2688.0,A
2691.0,gray
2694.0,gray
2697.0,gray
2700.0,A
2703.0,B
2706.0,A
2709.0,B
2712.0,A
2715.0,gray
2718.0,gray
2721.0,gray
2724.0,A
2727.0,B
2730.0,A
2733.0,B
2736.0,A
2739.0,gray
2742.0,gray
2745.0,gray
2748.0,A
2751.0,B
2754.0,A
2757.0,B
2760.0,A
2763.0,gray
2766.0,gray
2769.0,gray
2772.0,A
2775.0,B
2778.0,A
2781.0,B
2784.0,A
2787.0,gray
2790.0,gray
2793.0,gray
2796.0,A
2799.0,B
2802.0,A
2805.0,B
2808.0,A
2811.0,gray
2814.0,gray
2817.0,gray
2820.0,A
2823.0,B
2826.0,A
2829.0,B
2832.0,A
2835.0,gray
2838.0,gray
2841.0,gray
2844.0,A
2847.0,B
2850.0,A
2853.0,B
2856.0,A
2859.0,gray
2862.0,gray
2865.0,gray
2868.0,A
2871.0,B
2874.0,A
2877.0,B
2880.0,A
2883.0,gray
2886.0,gray
2889.0,gray
2892.0,A
2895.0,B
2898.0,A
2901.0,B
2904.0,A
2907.0,gray
2910.0,gray
2913.0,gray
2916.0,A
2919.0,B
2922.0,A
2925.0,B
2928.0,A
2931.0,gray
2934.0,gray
2937.0,gray
2940.0,A
2943.0,B
2946.0,A
2949.0,B
2952.0,A
2955.0,gray
2958.0,gray
2961.0,gray
2964.0,A
2967.0,B
2970.0,A
2973.0,B
2976.0,A
2979.0,gray
2982.0,gray
2985.0,gray
2988.0,A
2991.0,B
2994.0,A
2997.0,B
3000.0,A
3003.0,gray
3006.0,gray
3009.0,gray
3012.0,A
3015.0,B
3018.0,A
3021.0,B
3024.0,A
3027.0,gray
3030.0,gray
3033.0,gray
3036.0,A
3039.0,B
3042.0,A
3045.0,B
3048.0,A
3051.0,gray
3054.0,gray
3057.0,gray
3060.0,A
3063.0,B
3066.0,A
3069.0,B
3072.0,A
3075.0,gray
3078.0,gray
3081.0,gray
3084.0,A
3087.0,B
3090.0,A
3093.0,B
3096.0,A
3099.0,gray
3102.0,gray
3105.0,gray
3108.0,A
3111.0,B
3114.0,A
3117.0,B
3120.0,A
3123.0,gray
3126.0,gray
3129.0,gray
3132.0,A
3135.0,B
3138.0,A
3141.0,B
3144.0,A
3147.0,gray
3150.0,gray
3153.0,gray
3156.0,A
3159.0,B
3162.0,A
3165.0,B
3168.0,A
3171.0,gray
3174.0,gray
3177.0,gray
3180.0,A
3183.0,B
3186.0,A
3189.0,B
3192.0,A
3195.0,gray
3198.0,gray
3201.0,gray
3204.0,A
3207.0,B
3210.0,A
3213.0,B
3216.0,A
3219.0,gray
3222.0,gray
3225.0,gray
3228.0,A
3231.0,B
3234.0,A
3237.0,B
3240.0,A
3243.0,gray
3246.0,gray
3249.0,gray
3252.0,A
3255.0,B
3258.0,A
3261.0,B
3264.0,A
3267.0,gray
3270.0,gray
3273.0,gray
3276.0,A
3279.0,B
3282.0,A
3285.0,B
3288.0,A
3291.0,gray
3294.0,gray
3297.0,gray
3300.0,A
3303.0,B
3306.0,A
3309.0,B
3312.0,A
3315.0,gray
3318.0,gray
3321.0,gray
3324.0,A
3327.0,B
3330.0,A
3333.0,B
3336.0,A
3339.0,gray
3342.0,gray
3345.0,gray
3348.0,A
3351.0,B
3354.0,A
3357.0,B
3360.0,A
3363.0,gray
3366.0,gray
3369.0,gray
3372.0,A
3375.0,B
3378.0,A
3381.0,B
3384.0,A
3387.0,gray
3390.0,gray
3393.0,gray
3396.0,A
3399.0,B
3402.0,A
3405.0,B
3408.0,A
3411.0,gray
